date,temp_avg,hum_avg,rainfall,sunshine,wind_velo,iod,nino
2006-06-30,796.6,2292.0,0.0,205.8,89.0,-0.25,0.38
2006-07-31,803.8,2353.0,0.0,244.8,100.0,0.1,0.35
2006-08-31,809.1,2242.0,0.0,245.4,124.0,0.26,0.57
2006-09-30,792.5,2063.0,0.0,236.9,116.0,0.77,0.81
2006-10-31,876.2,2054.0,0.0,241.2,133.0,0.98,0.94
2006-11-30,895.3,2026.0,31.1,216.0,115.0,0.81,1.23
2006-12-31,899.8,2378.0,148.0,133.4,83.0,0.37,1.31
2007-01-31,879.5,2355.0,146.1,172.2,112.0,0.14,0.87
2007-02-28,766.1,2343.0,516.7,120.6,108.0,-0.21,0.31
2007-03-31,849.9,2570.0,313.8,103.4,132.0,0.1,0.08
2007-04-30,836.3,2519.0,191.2,156.7,101.0,0.04,0.09
2007-05-31,891.1,2445.0,20.6,203.6,136.0,0.46,-0.04
2007-06-30,822.4,2344.0,30.099999999999998,185.9,118.0,0.33,0.02
2007-07-31,829.9,2350.0,39.6,235.5,144.0,0.26,-0.25
2007-08-31,820.0,2265.0,0.0,240.2,140.0,0.34,-0.46
2007-09-30,816.0,2075.0,0.0,225.3,135.0,0.46,-0.91
2007-10-31,891.2,2157.0,7.7,218.4,149.0,0.15,-1.15
2007-11-30,867.6,2206.0,79.2,191.4,105.0,-0.16,-1.29
2007-12-31,859.7,2510.0,210.0,120.6,125.0,-0.28,-1.4
2008-01-31,856.1,2505.0,255.6,139.5,132.0,-0.08,-1.51
2008-02-29,780.8,2380.0,208.5,95.9,173.0,-0.05,-1.49
2008-03-31,831.8,2665.0,249.5,120.3,78.0,-0.04,-0.95
2008-04-30,830.0,2427.0,136.4,164.6,101.0,-0.45,-0.58
2008-05-31,856.9,2358.0,22.1,211.6,106.0,0.19,-0.41
2008-06-30,805.1,2286.0,3.6999999999999997,208.4,112.0,0.45,-0.31
2008-07-31,806.4,2258.0,0.0,235.5,121.0,0.67,0.04
2008-08-31,834.6,2270.0,0.0,232.4,134.0,0.36,0.13
2008-09-30,842.7,2068.0,0.0,227.1,133.0,0.14,-0.05
2008-10-31,910.0,2198.0,48.9,198.0,133.0,0.15,-0.11
2008-11-30,841.9,2486.0,205.3,126.4,92.0,-0.13,-0.22
2008-12-31,851.1,2551.0,372.3,92.4,97.0,-0.25,-0.68
2009-01-31,837.6,2560.0,404.9,134.8,133.0,-0.18,-0.72
2009-02-28,739.2,2400.0,652.5,105.8,108.0,0.24,-0.61
2009-03-31,866.4,2501.0,120.8,162.1,88.0,0.32,-0.44
2009-04-30,855.8,2357.0,148.2,169.9,86.0,-0.15,0.06
2009-05-31,857.5,2534.0,360.1,159.1,85.0,-0.05,0.49
2009-06-30,824.8,2329.0,109.6,192.0,108.0,0.05,0.69
